Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/18/2017 00:00,CAPITL,61757,36.76,0.89,-21.78
12/18/2017 00:00,CENTRL,61754,16.51,0.11,-2.3
12/18/2017 00:00,DUNWOD,61760,30.43,1.4,-14.95
12/18/2017 00:00,GENESE,61753,15.5,-0.37,-1.77
12/18/2017 00:00,H Q,61844,13.67,-0.42,0.0
12/18/2017 00:00,HUD VL,61758,30.3,1.3,-14.91
12/18/2017 00:00,LONGIL,61762,53.36,1.79,-37.48
12/18/2017 00:00,MHK VL,61756,16.71,0.31,-2.31
12/18/2017 00:00,MILLWD,61759,30.64,1.41,-15.14
12/18/2017 00:00,N.Y.C.,61761,30.59,1.54,-14.96
12/18/2017 00:00,NORTH,61755,13.59,-0.51,0.0
12/18/2017 00:00,NPX,61845,47.45,1.17,-32.19
12/18/2017 00:00,O H,61846,15.83,-0.66,-2.4
12/18/2017 00:00,PJM,61847,24.04,0.56,-9.38
12/18/2017 00:00,WEST,61752,15.99,-0.41,-2.31
12/18/2017 01:00,CAPITL,61757,34.95,0.81,-21.12
12/18/2017 01:00,CENTRL,61754,15.35,0.1,-2.23
12/18/2017 01:00,DUNWOD,61760,28.8,1.29,-14.5
12/18/2017 01:00,GENESE,61753,14.37,-0.36,-1.72
12/18/2017 01:00,H Q,61844,12.63,-0.39,0.0
12/18/2017 01:00,HUD VL,61758,28.69,1.21,-14.46
12/18/2017 01:00,LONGIL,61762,38.47,1.67,-23.79
12/18/2017 01:00,MHK VL,61756,15.53,0.27,-2.24
12/18/2017 01:00,MILLWD,61759,29.0,1.3,-14.68
12/18/2017 01:00,N.Y.C.,61761,28.92,1.39,-14.51
12/18/2017 01:00,NORTH,61755,12.53,-0.48,0.0
12/18/2017 01:00,NPX,61845,43.29,1.08,-29.2
12/18/2017 01:00,O H,61846,14.74,-0.6,-2.33
12/18/2017 01:00,PJM,61847,22.66,0.55,-9.1
12/18/2017 01:00,WEST,61752,14.88,-0.38,-2.24
12/18/2017 02:00,CAPITL,61757,33.62,0.79,-19.92
12/18/2017 02:00,CENTRL,61754,15.12,0.09,-2.11
12/18/2017 02:00,DUNWOD,61760,27.83,1.24,-13.67
