Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-10-28 00:00:00,16.75,0.0,0.0
2017-10-28 01:00:00,15.69,0.0,0.0
2017-10-28 02:00:00,15.37,0.0,0.0
2017-10-28 03:00:00,14.54,117.647058823529,100.0
2017-10-28 04:00:00,14.05,117.647058823529,200.0
2017-10-28 05:00:00,15.16,0.0,200.0
2017-10-28 06:00:00,18.38,0.0,200.0
2017-10-28 07:00:00,19.96,0.0,200.0
2017-10-28 08:00:00,26.27,0.0,200.0
2017-10-28 09:00:00,27.21,0.0,200.0
2017-10-28 10:00:00,27.32,0.0,200.0
2017-10-28 11:00:00,26.53,0.0,200.0
2017-10-28 12:00:00,24.53,0.0,200.0
2017-10-28 13:00:00,24.52,0.0,200.0
2017-10-28 14:00:00,24.35,0.0,200.0
2017-10-28 15:00:00,23.41,0.0,200.0
2017-10-28 16:00:00,24.48,0.0,200.0
2017-10-28 17:00:00,25.59,0.0,200.0
2017-10-28 18:00:00,30.53,-117.647058823529,100.0
2017-10-28 19:00:00,29.57,-117.647058823529,0.0
2017-10-28 20:00:00,27.58,0.0,0.0
2017-10-28 21:00:00,26.79,0.0,0.0
2017-10-28 22:00:00,21.26,0.0,0.0
2017-10-28 23:00:00,20.04,0.0,0.0
